Model,MAE,RMSE,R2 Score
Linear Regression,255.52001415205234,575.3991351171351,0.0025589716036631405
Random Forest (Default),232.76173022092658,581.4043065318409,-0.018369321040975883
Random Forest (Tuned),214.1283443616329,547.2875075432395,0.09763988935660861
